store_id,avg_weekly_sales_12mo,store_size_sqft,median_income,location_tier,fashion_tier,store_format,region,foot_traffic,competitor_density,online_penetration,population_density,mall_location
S001,945.434834317932,10860,138158,A,Mainstream,Standalone,Midwest,543,3.2,0.49,13,True
S002,863.4442601119976,14426,121962,A,Mainstream,Mall,Northeast,721,6.7,0.43,12,False
S003,908.1483169265914,10769,102433,B,Mainstream,Standalone,Midwest,538,5.4,0.48,10,True
S004,1268.0770040857203,14843,127480,A,Premium,Mall,Midwest,742,4.6,0.47,12,False
S005,859.7587311999102,10975,100189,B,Premium,Standalone,Midwest,548,1.9,0.38,10,False
S006,886.4505260074524,13202,103556,B,Premium,ShoppingCenter,Southeast,660,1.9,0.48,10,True
S007,1242.1553795677955,12363,143021,A,Mainstream,Mall,Southeast,618,1.3,0.23,14,False
S008,1137.3381285889536,11478,148555,A,Premium,Standalone,West,573,6.2,0.26,14,False
S009,766.5649338998061,13943,123939,A,Mainstream,Mall,Northeast,697,4.6,0.21,12,True
S010,1015.3969999849488,14798,106873,B,Premium,ShoppingCenter,Southeast,739,5.2,0.3,10,True
S011,869.2091700571323,13342,129127,A,Premium,ShoppingCenter,Southeast,667,1.1,0.32,12,True
S012,741.8066123159059,10337,117262,B,Mainstream,Standalone,Southeast,516,6.8,0.28,11,True
S013,1048.3924543132068,12062,149216,A,Premium,Mall,Southeast,603,6.0,0.45,14,False
S014,513.6301672889424,10391,113986,B,Premium,Standalone,Southeast,519,2.3,0.31,11,False
S015,572.4843628767218,13099,122662,A,Mainstream,Mall,Midwest,654,2.1,0.28,12,False
S016,639.0305957892999,7751,90818,B,Value,Outlet,Northeast,387,2.1,0.36,9,False
S017,607.6445372610339,9289,93270,B,Value,Standalone,West,464,2.8,0.24,9,False
S018,780.1315084249862,9625,83419,B,Value,ShoppingCenter,West,481,4.1,0.44,8,True
S019,543.4144027707832,8532,66374,C,Value,ShoppingCenter,Northeast,426,3.6,0.22,6,False
S020,466.4005188264121,7819,62693,C,Value,Outlet,Midwest,390,2.7,0.5,6,False
S021,695.7038075359593,7529,70230,C,Value,Standalone,Southeast,376,4.7,0.43,7,False
S022,607.2812545781127,6972,69474,C,Value,Outlet,West,348,1.8,0.26,6,False
S023,715.5349825019348,7257,60663,C,Mainstream,Standalone,Northeast,362,2.8,0.2,6,True
S024,564.8897865782737,9457,83938,B,Mainstream,ShoppingCenter,Northeast,472,3.2,0.44,8,True
S025,466.9486904697609,6641,60854,C,Value,Standalone,Midwest,332,3.7,0.41,6,True
S026,592.8670204063445,7733,81919,B,Value,Standalone,West,386,5.7,0.42,8,False
S027,468.039180985448,6293,62327,C,Value,Standalone,Midwest,314,2.2,0.43,6,False
S028,834.3083324472482,6608,87848,B,Mainstream,Outlet,Midwest,330,4.1,0.22,8,False
S029,485.689488632964,9002,66546,C,Value,ShoppingCenter,West,450,4.6,0.31,6,True
S030,585.7132975257164,7663,83078,B,Value,Outlet,Southeast,383,1.3,0.23,8,False
S031,608.7238048674515,6262,91065,B,Value,Outlet,West,313,4.6,0.46,9,False
S032,1025.100816402537,8301,80932,B,Mainstream,ShoppingCenter,Northeast,415,2.0,0.39,8,True
S033,564.4721141596659,8255,61154,C,Value,ShoppingCenter,Northeast,412,1.4,0.3,6,True
S034,468.343941640039,7648,92711,B,Value,Outlet,Midwest,382,6.7,0.22,9,True
S035,789.5370900811924,8200,62961,C,Value,ShoppingCenter,Midwest,410,6.8,0.29,6,False
S036,269.0759321220632,3160,40699,C,Value,Outlet,West,158,5.9,0.3,4,True
S037,414.62554216237857,4158,36218,C,Value,Outlet,Southeast,207,2.8,0.42,3,False
S038,207.95856352662335,4045,41893,C,Value,Outlet,Northeast,202,1.6,0.39,4,False
S039,353.96286488619126,5074,51609,C,Value,Outlet,West,253,5.1,0.47,5,True
S040,340.9140970730145,3815,47946,C,Value,Outlet,Northeast,190,3.6,0.34,4,False
S041,440.7142333436475,5205,45716,C,Value,Outlet,West,260,1.7,0.24,4,False
S042,382.6812528080578,5544,35301,C,Value,Outlet,Southeast,277,4.0,0.41,3,True
S043,402.470581531209,3980,37975,C,Value,Outlet,Northeast,199,1.2,0.43,3,False
S044,400.3459651357926,4758,58093,C,Value,Outlet,Northeast,237,6.5,0.37,5,True
S045,359.19075698252243,5901,53070,C,Value,Outlet,Southeast,295,2.6,0.43,5,True
S046,268.7937837128123,3245,42343,C,Value,Outlet,Northeast,162,5.0,0.35,4,True
S047,412.1739995968513,5455,43716,C,Value,Standalone,West,272,2.9,0.36,4,False
S048,600.8665248409164,5559,43173,C,Value,Outlet,Southeast,277,4.1,0.33,4,False
S049,500.162671903608,3833,57303,C,Value,Outlet,Midwest,191,4.3,0.21,5,True
S050,284.8524663280794,5197,57841,C,Value,Outlet,West,259,2.1,0.23,5,True
